Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 5000,T:01, AC: 11, DR: 00, IR: 00, RAM: xx, PC: 0, AR: 0, E: 1
Time: 15000,T:02, AC: 11, DR: 00, IR: 00, RAM: 0c, PC: 0, AR: 0, E: 1
Time: 25000,T:04, AC: 11, DR: 00, IR: 0c, RAM: 0c, PC: 1, AR: 0, E: 1
Time: 35000,T:08, AC: 11, DR: 00, IR: 0c, RAM: 0c, PC: 1, AR: c, E: 1
Time: 45000,T:10, AC: 11, DR: 00, IR: 0c, RAM: 1c, PC: 1, AR: c, E: 1
Time: 55000,T:20, AC: 11, DR: 1c, IR: 0c, RAM: 1c, PC: 1, AR: c, E: 1
Time: 65000,T:01, AC: 10, DR: 1c, IR: 0c, RAM: 1c, PC: 1, AR: c, E: 1
Time: 75000,T:02, AC: 10, DR: 1c, IR: 0c, RAM: 1a, PC: 1, AR: 1, E: 1
Time: 85000,T:04, AC: 10, DR: 1c, IR: 1a, RAM: 1a, PC: 2, AR: 1, E: 1
Time: 95000,T:08, AC: 10, DR: 1c, IR: 1a, RAM: 1a, PC: 2, AR: a, E: 1
Time: 105000,T:10, AC: 10, DR: 1c, IR: 1a, RAM: 1b, PC: 2, AR: a, E: 1
Time: 115000,T:20, AC: 10, DR: 1b, IR: 1a, RAM: 1b, PC: 2, AR: a, E: 0
Time: 125000,T:01, AC: 2b, DR: 1b, IR: 1a, RAM: 1b, PC: 2, AR: a, E: 0
Time: 135000,T:02, AC: 2b, DR: 1b, IR: 1a, RAM: 26, PC: 2, AR: 2, E: 0
Time: 145000,T:04, AC: 2b, DR: 1b, IR: 26, RAM: 26, PC: 3, AR: 2, E: 0
Time: 155000,T:08, AC: 2b, DR: 1b, IR: 26, RAM: 26, PC: 3, AR: 6, E: 0
Time: 165000,T:10, AC: 2b, DR: 1b, IR: 26, RAM: 71, PC: 3, AR: 6, E: 0
Time: 175000,T:20, AC: 2b, DR: 71, IR: 26, RAM: 71, PC: 3, AR: 6, E: 0
Time: 185000,T:01, AC: 71, DR: 71, IR: 26, RAM: 71, PC: 3, AR: 6, E: 0
Time: 195000,T:02, AC: 71, DR: 71, IR: 26, RAM: 78, PC: 3, AR: 3, E: 0
Time: 205000,T:04, AC: 71, DR: 71, IR: 78, RAM: 78, PC: 4, AR: 3, E: 0
Time: 215000,T:08, AC: 71, DR: 71, IR: 78, RAM: 78, PC: 4, AR: 8, E: 0
Time: 225000,T:01, AC: 00, DR: 71, IR: 78, RAM: 78, PC: 4, AR: 8, E: 0
Time: 235000,T:02, AC: 00, DR: 71, IR: 78, RAM: 74, PC: 4, AR: 4, E: 0
Time: 245000,T:04, AC: 00, DR: 71, IR: 74, RAM: 74, PC: 5, AR: 4, E: 0
Time: 255000,T:08, AC: 00, DR: 71, IR: 74, RAM: 74, PC: 5, AR: 4, E: 0
Time: 265000,T:01, AC: ff, DR: 71, IR: 74, RAM: 74, PC: 5, AR: 4, E: 0
Time: 275000,T:02, AC: ff, DR: 71, IR: 74, RAM: 72, PC: 5, AR: 5, E: 0
Time: 285000,T:04, AC: ff, DR: 71, IR: 72, RAM: 72, PC: 6, AR: 5, E: 0
Time: 295000,T:08, AC: ff, DR: 71, IR: 72, RAM: 72, PC: 6, AR: 2, E: 1
Time: 305000,T:01, AC: 7f, DR: 71, IR: 72, RAM: 72, PC: 6, AR: 2, E: 1
Time: 315000,T:02, AC: 7f, DR: 71, IR: 72, RAM: 71, PC: 6, AR: 6, E: 1
Time: 325000,T:04, AC: 7f, DR: 71, IR: 71, RAM: 71, PC: 7, AR: 6, E: 1
Time: 335000,T:08, AC: 7f, DR: 71, IR: 71, RAM: 71, PC: 7, AR: 1, E: 1
